00:07:12.135 [main] INFO  r.g.o.k.h.KafkaTransactionalApp MDC= - PRODUCING RECORDS
00:07:53.304 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic1-2 c4 com_value4
00:07:53.304 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic1-2 u11 unc_value11
00:07:53.304 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic1-2 u12 unc_value12
00:07:53.304 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic2-3 c8 com_value8
00:07:53.304 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic2-5 c7 com_value7
00:07:53.801 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic1-0 c5 com_value5
00:07:53.801 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic2-0 c9 com_value9
00:07:53.801 [DefaultDispatcher-worker-2] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadUncommitedConsumer] received topic2-0 c0 com_value0
00:07:53.802 [DefaultDispatcher-worker-1] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadCommitedConsumer] received topic1-0 c5 com_value5
00:07:53.802 [DefaultDispatcher-worker-1] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadCommitedConsumer] received topic2-0 c9 com_value9
00:07:53.802 [DefaultDispatcher-worker-1] INFO  r.g.o.k.hw3transactional.Consumer MDC= - [ReadCommitedConsumer] received topic2-0 c0 com_value0
